mag,dist,mag_dist,severity,severity_dist
1.6,79,0.02,Micro,None
1.91,214,0,Minor 1,None
1.44,104,0,Micro,None
0.5,103,0,Micro,None
1.26,11,1.04,Micro,Micro
1.05,33,0.39,Micro,None
2.35,81,0.73,Minor 1,None
0.67,73,0,Micro,None
1.54,111,0,Micro,None
0.99,206,0,Micro,None
5.1,23,4.64,Moderate,Light
1.17,36,0.45,Micro,None
1.5,210,0,Micro,None
4.5,126,1.98,Light,Minor 1
1.4,139,0,Micro,None
2.3,112,0.06,Minor 1,None
1.99000001,26,1.47000001,Minor 1,Micro
0.67,61,0,Micro,None
1.22,152,0,Micro,None
1.08,119,0,Micro,None
1.04,10,0.84,Micro,None
1.08,58,0,Micro,None
1.24,122,0,Micro,None
1.71,172,0,Micro,None
1.6,178,0,Micro,None
1.5,226,0,Micro,None
1.47,226,0,Micro,None
0.99,143,0,Micro,None
1.17,241,0,Micro,None
1.23,212,0,Micro,None
1.96,236,0,Minor 1,None
1.06,242,0,Micro,None
2.19,112,0,Minor 1,None
2.3,10,2.1,Minor 1,Minor 1
2.19,157,0,Minor 1,None
1.91,250,0,Minor 1,None
0.85,113,0,Micro,None
2.36,105,0.26,Minor 1,None
0.69,113,0,Micro,None
0.76,57,0,Micro,None
1.19,212,0,Micro,None
1.88,126,0,Micro,None
1.4,2,1.36,Micro,Micro
0.85,9,0.67,Micro,None
1.54,9,1.36,Micro,Micro
0.55,190,0,Micro,None
2.2,32,1.56,Minor 1,Micro
1.71,168,0,Micro,None
1.3,166,0,Micro,None
0.82,237,0,Micro,None
1.7,182,0,Micro,None
1.9,137,0,Micro,None
1.53,8,1.37,Micro,Micro
1.18,152,0,Micro,None
3,207,0,Minor 2,None
1.26,154,0,Micro,None
1.69,156,0,Micro,None
1.66,149,0,Micro,None
0.65,169,0,Micro,None
2.24,78,0.68,Minor 1,None
1.5,33,0.84,Micro,None
0.85,60,0,Micro,None
1.82,117,0,Micro,None
1.13,180,0,Micro,None
0.83,191,0,Micro,None
2.41,130,0,Minor 1,None
2.17,129,0,Minor 1,None
0.87,184,0,Micro,None
0.6,241,0,Micro,None
4.4,69,3.02,Light,Minor 2
1.97000003,42,1.13000003,Minor 1,Micro
2.07,175,0,Minor 1,None
1.97,24,1.49,Minor 1,Micro
1.22,30,0.62,Micro,None
2.1,26,1.58,Minor 1,Micro
2.68,109,0.5,Minor 1,None
1.51,123,0,Micro,None
1.13,186,0,Micro,None
4.4,133,1.74,Light,Micro
1.4,186,0,Micro,None
1.29,124,0,Micro,None
1.26,176,0,Micro,None
0.65,28,0.09,Micro,None
1.80999994,203,0,Micro,None
0.91,98,0,Micro,None
0.8,188,0,Micro,None
0.95,131,0,Micro,None
1.02,247,0,Micro,None
1.42,161,0,Micro,None
1.67,143,0,Micro,None
1.36,30,0.76,Micro,None
1.5,133,0,Micro,None
1.72,249,0,Micro,None
1.7,149,0,Micro,None
1.4,219,0,Micro,None
1.7,221,0,Micro,None
2.55,22,2.11,Minor 1,Minor 1
0.7,111,0,Micro,None
2.22000003,215,0,Minor 1,None
2.15,119,0,Minor 1,None
1.04,51,0.02,Micro,None
1.11,164,0,Micro,None
1.86000001,165,0,Micro,None
1.8,223,0,Micro,None
1.21,167,0,Micro,None
1.6,9,1.42,Micro,Micro
2.32,37,1.58,Minor 1,Micro
2.1,92,0.26,Minor 1,None
1.23,65,0,Micro,None
2.25,146,0,Minor 1,None
1.3,6,1.18,Micro,Micro
2.3,78,0.74,Minor 1,None
4.2,101,2.18,Light,Minor 1
1.01,148,0,Micro,None
1.4,89,0,Micro,None
1.43,172,0,Micro,None
2.00999999,229,0,Minor 1,None
0.7,21,0.28,Micro,None
2.5,223,0,Minor 1,None
2.58,107,0.44,Minor 1,None
1.76,206,0,Micro,None
0.55,183,0,Micro,None
1.6,151,0,Micro,None
0.7,93,0,Micro,None
2.6,92,0.76,Minor 1,None
1.2,42,0.36,Micro,None
2.27,72,0.83,Minor 1,None
1.93,89,0.15,Minor 1,None
1.73000002,246,0,Micro,None
1.9,120,0,Micro,None
0.94,113,0,Micro,None
1.58,10,1.38,Micro,Micro
2.4,70,1,Minor 1,Micro
4.6,71,3.18,Light,Minor 2
0.6,240,0,Micro,None
0.9,95,0,Micro,None
1.85,114,0,Micro,None
1.82000005,104,0,Micro,None
1.88999999,120,0,Micro,None
1.84000003,182,0,Micro,None
0.57,240,0,Micro,None
4.5,24,4.02,Light,Light
0.58,89,0,Micro,None
0.54,243,0,Micro,None
1.62,201,0,Micro,None
4.6,232,0,Light,None
1.72,58,0.56,Micro,None
0.84,69,0,Micro,None
2.33,68,0.97,Minor 1,Micro
0.87,198,0,Micro,None
1.6,121,0,Micro,None
1.49,58,0.33,Micro,None
0.7,218,0,Micro,None
0.77,177,0,Micro,None
2.19,31,1.57,Minor 1,Micro
1.64,98,0,Micro,None
1.9,89,0.12,Micro,None
2.25,126,0,Minor 1,None
1.99,238,0,Minor 1,None
2.01999998,7,1.87999998,Minor 1,Micro
5.1,102,3.06,Moderate,Minor 2
2.9,75,1.4,Minor 1,Micro
0.83,90,0,Micro,None
0.99,131,0,Micro,None
0.85,65,0,Micro,None
2.8,62,1.56,Minor 1,Micro
1.82000005,2,1.78000005,Micro,Micro
1.7,191,0,Micro,None
1.1,35,0.4,Micro,None
1.4,198,0,Micro,None
1.78,135,0,Micro,None
1.91,193,0,Minor 1,None
0.69,21,0.27,Micro,None
0.99,126,0,Micro,None
2.8,96,0.88,Minor 1,None
4.1,125,1.6,Light,Micro
1.74,208,0,Micro,None
1.78999996,112,0,Micro,None
1.2,215,0,Micro,None
1.2,18,0.84,Micro,None
2,134,0,Minor 1,None
1.4,202,0,Micro,None
1.73,121,0,Micro,None
0.59,206,0,Micro,None
1.98,173,0,Minor 1,None
1.5,119,0,Micro,None
1.29,5,1.19,Micro,Micro
1.28,18,0.92,Micro,Micro
2.8,91,0.98,Minor 1,Micro
2.21,29,1.63,Minor 1,Micro
1.74,71,0.32,Micro,None
1.73,126,0,Micro,None
1.86,217,0,Micro,None
2.0999999,43,1.2399999,Minor 1,Micro
0.77,95,0,Micro,None
0.85,23,0.39,Micro,None
1.55,189,0,Micro,None
2.1,43,1.24,Minor 1,Micro
0.76,78,0,Micro,None
1,106,0,Micro,None
1.23,161,0,Micro,None
2.32,160,0,Minor 1,None
1.91,199,0,Minor 1,None
2.05999994,17,1.71999994,Minor 1,Micro
1.1,245,0,Micro,None
1.1,143,0,Micro,None
1.02,238,0,Micro,None
1.3,58,0.14,Micro,None
1.7,209,0,Micro,None
1.8,81,0.18,Micro,None
1.7,229,0,Micro,None
1.11,197,0,Micro,None
4.4,105,2.3,Light,Minor 1
2.07999992,184,0,Minor 1,None
1.82000005,230,0,Micro,None
1.82,1,1.8,Micro,Micro
2.1,121,0,Minor 1,None
1.04,150,0,Micro,None
2.08,21,1.66,Minor 1,Micro
3.62,190,0,Minor 2,None
1.7,141,0,Micro,None
1.73,57,0.59,Micro,None
2.07999992,232,0,Minor 1,None
1.4,168,0,Micro,None
4.3,124,1.82,Light,Micro
0.54,242,0,Micro,None
4.8,249,0,Light,None
0.65,64,0,Micro,None
1.56,196,0,Micro,None
2.22000003,233,0,Minor 1,None
1.03,98,0,Micro,None
4.5,153,1.44,Light,Micro
1.48,156,0,Micro,None
1.82,243,0,Micro,None
1.96,168,0,Minor 1,None
1.54,170,0,Micro,None
1.4,88,0,Micro,None
1.4,47,0.46,Micro,None
0.93,176,0,Micro,None
1.12,6,1,Micro,Micro
0.9,30,0.3,Micro,None
0.85,53,0,Micro,None
1.42,200,0,Micro,None
0.86,120,0,Micro,None
2.39,48,1.43,Minor 1,Micro
1.1,219,0,Micro,None
1.08,204,0,Micro,None
1.3,112,0,Micro,None
0.8,92,0,Micro,None
1.2,56,0.08,Micro,None
2.5,60,1.3,Minor 1,Micro
0.85,164,0,Micro,None
0.85,104,0,Micro,None
1.83,194,0,Micro,None
0.66,234,0,Micro,None
1.89,45,0.99,Micro,Micro
0.99,220,0,Micro,None
1.64,121,0,Micro,None
0.56,148,0,Micro,None
2.03,120,0,Minor 1,None
1.47,238,0,Micro,None
0.68,167,0,Micro,None
1.4,96,0,Micro,None
1.3,170,0,Micro,None
2.06999993,217,0,Minor 1,None
1.65,106,0,Micro,None
2.21,14,1.93,Minor 1,Minor 1
4.4,162,1.16,Light,Micro
1.33,209,0,Micro,None
4.9,206,0.78,Light,None
4.8,116,2.48,Light,Minor 1
1.28,202,0,Micro,None
1.11,124,0,Micro,None
2.73,73,1.27,Minor 1,Micro
2.41,205,0,Minor 1,None
1.43,218,0,Micro,None
1.79999995,30,1.19999995,Micro,Micro
0.65,8,0.49,Micro,None
1.7,101,0,Micro,None
1.6,182,0,Micro,None
0.68,213,0,Micro,None
1.18,94,0,Micro,None
0.91,142,0,Micro,None
3.1,227,0,Minor 2,None
2.18,37,1.44,Minor 1,Micro
1.4,167,0,Micro,None
0.9,32,0.26,Micro,None
0.88,17,0.54,Micro,None
0.6,50,0,Micro,None
3.5,138,0.74,Minor 2,None
5.4,110,3.2,Moderate,Minor 2
1.57,219,0,Micro,None
5,213,0.74,Moderate,None
1.19,103,0,Micro,None
2.16,17,1.82,Minor 1,Micro
1.99000001,120,0,Minor 1,None
1.31,35,0.61,Micro,None
1.6,143,0,Micro,None
1.76999998,52,0.72999998,Micro,None
1.1,119,0,Micro,None
2.1,12,1.86,Minor 1,Micro
0.86,121,0,Micro,None
1.7,124,0,Micro,None
1.75,60,0.55,Micro,None
2.6,170,0,Minor 1,None
1.6,17,1.26,Micro,Micro
2.04999995,103,0,Minor 1,None
2.5,238,0,Minor 1,None
1.04,95,0,Micro,None
1.17,15,0.87,Micro,None
1.02,90,0,Micro,None
2.54,161,0,Minor 1,None
2.01,124,0,Minor 1,None
4,36,3.28,Light,Minor 2
1.67,69,0.29,Micro,None
1.74000001,143,0,Micro,None
0.84,186,0,Micro,None
1.3,142,0,Micro,None
0.86,245,0,Micro,None
1.1,160,0,Micro,None
1.75,87,0.01,Micro,None
1.3,220,0,Micro,None
2.77,160,0,Minor 1,None
2.51,233,0,Minor 1,None
0.66,56,0,Micro,None
1.2,176,0,Micro,None
1.3,65,0,Micro,None
1.09,30,0.49,Micro,None
0.62,153,0,Micro,None
3,76,1.48,Minor 2,Micro
1.7,137,0,Micro,None
1.09,117,0,Micro,None
2.12,83,0.46,Minor 1,None
1.5,32,0.86,Micro,None
3.5,245,0,Minor 2,None
0.5,191,0,Micro,None
1,240,0,Micro,None
2.13000011,226,0,Minor 1,None
0.95,130,0,Micro,None
5.2,164,1.92,Moderate,Minor 1
1.2,233,0,Micro,None
0.9,130,0,Micro,None
0.83,110,0,Micro,None
3.9,129,1.32,Minor 2,Micro
0.74,228,0,Micro,None
0.69,245,0,Micro,None
2,188,0,Minor 1,None
1.3,192,0,Micro,None
0.7,113,0,Micro,None
0.7,1,0.68,Micro,None
1.8,223,0,Micro,None
0.57,3,0.51,Micro,None
0.8,209,0,Micro,None
1.4,201,0,Micro,None
4,58,2.84,Light,Minor 1
0.75,90,0,Micro,None
1,37,0.26,Micro,None
2.1,84,0.42,Minor 1,None
1.4,210,0,Micro,None
2.89,192,0,Minor 1,None
2,45,1.1,Minor 1,Micro
0.74,189,0,Micro,None
2.21,54,1.13,Minor 1,Micro
1.1,51,0.08,Micro,None
2.31,214,0,Minor 1,None
1.73,108,0,Micro,None
1.6,110,0,Micro,None
3.8,169,0.42,Minor 2,None
3.6,34,2.92,Minor 2,Minor 2
2.4000001,82,0.7600001,Minor 1,None
1.65,133,0,Micro,None
1.35,134,0,Micro,None
1,99,0,Micro,None
1.83,79,0.25,Micro,None
0.8,236,0,Micro,None
2.1,75,0.6,Minor 1,None
1.6,58,0.44,Micro,None
0.6,179,0,Micro,None
2.28,219,0,Minor 1,None
1.98000002,88,0.22000002,Minor 1,None
1.92999995,144,0,Minor 1,None
1,94,0,Micro,None
3.3,169,0,Minor 2,None
0.58,117,0,Micro,None
1.51,149,0,Micro,None
2.49,244,0,Minor 1,None
2.1,98,0.14,Minor 1,None
1.04,52,0,Micro,None
0.7,93,0,Micro,None
0.67,217,0,Micro,None
0.83,217,0,Micro,None
2.5,209,0,Minor 1,None
1.1,2,1.06,Micro,Micro
2.16,160,0,Minor 1,None
2.66,95,0.76,Minor 1,None
1.56,81,0,Micro,None
1.18,17,0.84,Micro,None
0.72,163,0,Micro,None
0.85,204,0,Micro,None
1.5,116,0,Micro,None
1.13,223,0,Micro,None
2.16000009,2,2.12000009,Minor 1,Minor 1
2.6,125,0.1,Minor 1,None
2.25,50,1.25,Minor 1,Micro
1.1,127,0,Micro,None
2.45,180,0,Minor 1,None
0.97,96,0,Micro,None
0.85,243,0,Micro,None
1.9,108,0,Micro,None
2.32,18,1.96,Minor 1,Minor 1
1.05,231,0,Micro,None
1.14,150,0,Micro,None
1.14,193,0,Micro,None
1,53,0,Micro,None
1.63,154,0,Micro,None
0.56,135,0,Micro,None
1.67,64,0.39,Micro,None
2.25,96,0.33,Minor 1,None
1.9,92,0.06,Micro,None
2.21,25,1.71,Minor 1,Micro
1.4,105,0,Micro,None
1.06,233,0,Micro,None
0.63,115,0,Micro,None
1.14,105,0,Micro,None
1,98,0,Micro,None
1.2,173,0,Micro,None
1.36,166,0,Micro,None
2.1,20,1.7,Minor 1,Micro
3.07,177,0,Minor 2,None
0.5,107,0,Micro,None
2.1,135,0,Minor 1,None
1.7,75,0.2,Micro,None
1.2,107,0,Micro,None
0.9,161,0,Micro,None
2.02,217,0,Minor 1,None
0.86,131,0,Micro,None
1.86,174,0,Micro,None
1.09,157,0,Micro,None
2.2,100,0.2,Minor 1,None
0.85,23,0.39,Micro,None
1.46,63,0.2,Micro,None
5.1,238,0.34,Moderate,None
1.98,30,1.38,Minor 1,Micro
0.99,28,0.43,Micro,None
1.62,250,0,Micro,None
5.1,32,4.46,Moderate,Light
4.6,159,1.42,Light,Micro
2.2,167,0,Minor 1,None
5.1,175,1.6,Moderate,Micro
2.3,87,0.56,Minor 1,None
0.94,26,0.42,Micro,None
0.59,218,0,Micro,None
1.89,208,0,Micro,None
4.5,38,3.74,Light,Minor 2
2.2,146,0,Minor 1,None
0.94,1,0.92,Micro,Micro
2.26,245,0,Minor 1,None
2.01,62,0.77,Minor 1,None
2.11,225,0,Minor 1,None
0.8,40,0,Micro,None
0.89,126,0,Micro,None
1.54,36,0.82,Micro,None
2.1099999,46,1.1899999,Minor 1,Micro
1.4,81,0,Micro,None
1.77,183,0,Micro,None
2.26,195,0,Minor 1,None
0.8,231,0,Micro,None
1.5,129,0,Micro,None
0.71,158,0,Micro,None
1.67,123,0,Micro,None
1.89,187,0,Micro,None
1.59,119,0,Micro,None
0.75,240,0,Micro,None
4.5,51,3.48,Light,Minor 2
2.24,78,0.68,Minor 1,None
1.4,176,0,Micro,None
1.26,84,0,Micro,None
1.3,131,0,Micro,None
1.16,244,0,Micro,None
1.8,102,0,Micro,None
1.85,10,1.65,Micro,Micro
0.74,97,0,Micro,None
0.95,164,0,Micro,None
0.57,125,0,Micro,None
1.4,1,1.38,Micro,Micro
2,67,0.66,Minor 1,None
1,227,0,Micro,None
1.25,123,0,Micro,None
1.75,158,0,Micro,None
1.09,5,0.99,Micro,Micro
4.1,196,0.18,Light,None
2.03,145,0,Minor 1,None
4.3,222,0,Light,None
1.68,48,0.72,Micro,None
2.02999997,200,0,Minor 1,None
3.6,118,1.24,Minor 2,Micro
0.61,84,0,Micro,None
1.54,58,0.38,Micro,None
1.59,76,0.07,Micro,None
1.35,47,0.41,Micro,None
0.72,207,0,Micro,None
1.83000004,69,0.45000004,Micro,None
0.57,151,0,Micro,None
1.3,74,0,Micro,None
0.85,175,0,Micro,None
1.15,49,0.17,Micro,None
2.38,125,0,Minor 1,None
3,47,2.06,Minor 2,Minor 1
2.08,43,1.22,Minor 1,Micro
1.06,61,0,Micro,None
2.1400001,62,0.9000001,Minor 1,Micro
2.18,6,2.06,Minor 1,Minor 1
1.17,96,0,Micro,None
1.2,151,0,Micro,None
1.67,138,0,Micro,None
1.34,213,0,Micro,None
1.1,133,0,Micro,None
1.18,153,0,Micro,None
1.78,215,0,Micro,None
1.81,35,1.11,Micro,Micro
1,54,0,Micro,None
1.95,202,0,Minor 1,None
1.11,101,0,Micro,None
5,209,0.82,Moderate,None
1,134,0,Micro,None
1.03,178,0,Micro,None
2.00999999,153,0,Minor 1,None
1.71,57,0.57,Micro,None
1.08,8,0.92,Micro,Micro
0.85,22,0.41,Micro,None
3.8,138,1.04,Minor 2,Micro
1.24,197,0,Micro,None
2.47,193,0,Minor 1,None
2.1,101,0.08,Minor 1,None
0.85,68,0,Micro,None
1.07,63,0,Micro,None
1.4,169,0,Micro,None
2.9,1,2.88,Minor 1,Minor 1
0.85,217,0,Micro,None
3.6,243,0,Minor 2,None
1.58,180,0,Micro,None
1.61,207,0,Micro,None
5.5,205,1.4,Moderate,Micro
1.86,233,0,Micro,None
1.5,156,0,Micro,None
1.73,145,0,Micro,None
2.33,68,0.97,Minor 1,Micro
2.27,116,0,Minor 1,None
2.1,154,0,Minor 1,None
3.6,107,1.46,Minor 2,Micro
1.3,207,0,Micro,None
1.95,191,0,Minor 1,None
2.25,108,0.09,Minor 1,None
1.03,82,0,Micro,None
4,81,2.38,Light,Minor 1
2.04,193,0,Minor 1,None
0.72,10,0.52,Micro,None
0.52,112,0,Micro,None
1.7,34,1.02,Micro,Micro
0.7,159,0,Micro,None
1.57,172,0,Micro,None
2.1,56,0.98,Minor 1,Micro
1.7,1,1.68,Micro,Micro
0.68,199,0,Micro,None
2.23,146,0,Minor 1,None
2.06999993,87,0.32999993,Minor 1,None
1.1,240,0,Micro,None
2.56,43,1.7,Minor 1,Micro
1.4,221,0,Micro,None
4.8,232,0.16,Light,None
0.68,242,0,Micro,None
2.21,243,0,Minor 1,None
4.3,29,3.72,Light,Minor 2
4.2,120,1.8,Light,Micro
1.2,67,0,Micro,None
3.1,75,1.6,Minor 2,Micro
1.90999997,203,0,Minor 1,None
4.3,174,0.82,Light,None
1.1,171,0,Micro,None
1.08,79,0,Micro,None
0.9,145,0,Micro,None
4.4,160,1.2,Light,Micro
0.86,245,0,Micro,None
0.9,111,0,Micro,None
4.2,234,0,Light,None
1.5,193,0,Micro,None
0.7,80,0,Micro,None
2.19,246,0,Minor 1,None
1.4,146,0,Micro,None
1.4,96,0,Micro,None
1.78,165,0,Micro,None
1.5,247,0,Micro,None
2.03999996,108,0,Minor 1,None
2.51,61,1.29,Minor 1,Micro
1.8,124,0,Micro,None
1.1,152,0,Micro,None
1.71000004,99,0,Micro,None
2.22,36,1.5,Minor 1,Micro
0.68,92,0,Micro,None
2.1,65,0.8,Minor 1,None
0.8,197,0,Micro,None
0.6,155,0,Micro,None
0.84,200,0,Micro,None
2.06,65,0.76,Minor 1,None
1.48,235,0,Micro,None
1.63,173,0,Micro,None
1.33,79,0,Micro,None
1,74,0,Micro,None
2.1,123,0,Minor 1,None
1.85000002,238,0,Micro,None
1.91,119,0,Minor 1,None
4.3,14,4.02,Light,Light
0.83,65,0,Micro,None
0.97,28,0.41,Micro,None
4.1,92,2.26,Light,Minor 1
1.5,135,0,Micro,None
0.66,171,0,Micro,None
1.9,217,0,Micro,None
1.7,101,0,Micro,None
1.5,102,0,Micro,None
1.61,128,0,Micro,None
0.72,46,0,Micro,None
4.3,220,0,Light,None
1.95,143,0,Minor 1,None
1.2,231,0,Micro,None
0.77,128,0,Micro,None
1.43,221,0,Micro,None
0.72,64,0,Micro,None
0.77,228,0,Micro,None
1.54,66,0.22,Micro,None
1.18,162,0,Micro,None
0.86,153,0,Micro,None
1.83,144,0,Micro,None
2.1,211,0,Minor 1,None
0.8,86,0,Micro,None
1.9,227,0,Micro,None
1.64,72,0.2,Micro,None
4.5,98,2.54,Light,Minor 1
0.81,74,0,Micro,None
1.8,160,0,Micro,None
1.4,91,0,Micro,None
0.83,13,0.57,Micro,None
1.71,13,1.45,Micro,Micro
1.07,59,0,Micro,None
0.86,192,0,Micro,None
0.85,175,0,Micro,None
1.02,178,0,Micro,None
2.41,115,0.11,Minor 1,None
1.8,240,0,Micro,None
3.85,47,2.91,Minor 2,Minor 2
2.3,74,0.82,Minor 1,None
0.75,151,0,Micro,None
1.93,136,0,Minor 1,None
1.43,166,0,Micro,None
1.9,136,0,Micro,None
1.3,10,1.1,Micro,Micro
0.93,6,0.81,Micro,None
1.5,24,1.02,Micro,Micro
2.1,224,0,Minor 1,None
1.22,77,0,Micro,None
1.33,93,0,Micro,None
1.35,3,1.29,Micro,Micro
1.38,23,0.92,Micro,Micro
1.32,136,0,Micro,None
1.89,95,0,Micro,None
2.09,120,0,Minor 1,None
0.6,162,0,Micro,None
1.88,175,0,Micro,None
1.24,188,0,Micro,None
1.1,52,0.06,Micro,None
2.1,55,1,Minor 1,Micro
2.76,111,0.54,Minor 1,None
2.68,15,2.38,Minor 1,Minor 1
0.87,43,0.01,Micro,None
2.2,143,0,Minor 1,None
1.22,14,0.94,Micro,Micro
1.4,112,0,Micro,None
1.14,154,0,Micro,None
1.4,183,0,Micro,None
4.6,227,0.06,Light,None
1,240,0,Micro,None
1,248,0,Micro,None
4.4,185,0.7,Light,None
1.38,228,0,Micro,None
1.17,223,0,Micro,None
2.01999998,63,0.75999998,Minor 1,None
0.58,109,0,Micro,None
4.9,200,0.9,Light,None
0.83,235,0,Micro,None
2.4,76,0.88,Minor 1,None
1.84000003,225,0,Micro,None
0.84,160,0,Micro,None
1.8,205,0,Micro,None
1.74,234,0,Micro,None
1.23,109,0,Micro,None
1.07,48,0.11,Micro,None
1.33,27,0.79,Micro,None
0.73,194,0,Micro,None
4.1,169,0.72,Light,None
1.14,237,0,Micro,None
0.86,142,0,Micro,None
0.87,75,0,Micro,None
5.1,208,0.94,Moderate,Micro
4.8,172,1.36,Light,Micro
1,243,0,Micro,None
2.84,116,0.52,Minor 1,None
1.9,146,0,Micro,None
1.16,182,0,Micro,None
0.7,137,0,Micro,None
1.77,143,0,Micro,None
1.5,110,0,Micro,None
2.53,184,0,Minor 1,None
0.5,19,0.12,Micro,None
4.3,242,0,Light,None
1.26,93,0,Micro,None
2.03999996,40,1.23999996,Minor 1,Micro
1,94,0,Micro,None
1.93,70,0.53,Minor 1,None
1.84000003,2,1.80000003,Micro,Micro
4,210,0,Light,None
1.21,77,0,Micro,None
4.1,219,0,Light,None
2.31,214,0,Minor 1,None
0.8,210,0,Micro,None
0.87,146,0,Micro,None
1.9,110,0,Micro,None
2.82,153,0,Minor 1,None
1.98000002,131,0,Minor 1,None
1.9,176,0,Micro,None
1.8,56,0.68,Micro,None
1.62,29,1.04,Micro,Micro
0.65,122,0,Micro,None
0.98,243,0,Micro,None
4.5,93,2.64,Light,Minor 1
2.5,40,1.7,Minor 1,Micro
1.5,151,0,Micro,None
1.7,186,0,Micro,None
1.6,88,0,Micro,None
0.93,151,0,Micro,None
0.96,193,0,Micro,None
1.45,182,0,Micro,None
4.4,240,0,Light,None
1.29,172,0,Micro,None
4.7,109,2.52,Light,Minor 1
5.1,114,2.82,Moderate,Minor 1
1.63,128,0,Micro,None
1.09,24,0.61,Micro,None
0.83,116,0,Micro,None
0.58,37,0,Micro,None
1.85000002,11,1.63000002,Micro,Micro
3.2,170,0,Minor 2,None
1.3,113,0,Micro,None
0.52,249,0,Micro,None
1.84000003,116,0,Micro,None
1.72,171,0,Micro,None
0.8,131,0,Micro,None
1.23,73,0,Micro,None
1.18,97,0,Micro,None
0.82,172,0,Micro,None
5.2,240,0.4,Moderate,None
0.76,7,0.62,Micro,None
0.69,33,0.03,Micro,None
4.2,71,2.78,Light,Minor 1
1.52,136,0,Micro,None
4,10,3.8,Light,Minor 2
1.57,160,0,Micro,None
1.8,70,0.4,Micro,None
1.01,116,0,Micro,None
2.15,194,0,Minor 1,None
1.72,160,0,Micro,None
1.3,162,0,Micro,None
0.74,82,0,Micro,None
